Satimo 1 - SG24-ATL2989S     400-6000 Mhz,,,,,,,,,SG24-ATL2989S,400-10000 Mhz,,,SH600 Horn used to create a new passive calibration file: Measurement time about 2.5 hours.,,,,,,
Yearly Reference Dipole Measurements -  (Limits: +/- .5 dB of the Average of the previous 4 measurements),,,,,,,,,Satimo 1,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,, ,,,,,
,,,,,,,,,SD665,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,2140,-0.12,-0.25,,,,,,,,
,,,,,,,,,2145,-0.14,-0.21,,,,,,,,
,,,,,,,,,2150,-0.21,-0.23,,,,,,,,
,,,,,,,,,2155,-0.21,-0.13,,,,,,,,
,,,,,,,,,2160,-0.23,-0.18,,,,,,,,
,,,,,,,,,2165,-0.16,-0.18,,,,,,,,
,,,,,,,,,2170,-0.09,-0.2,,,,,,,,
,,,,,,,,,2175,-0.05,-0.22,,,,,,,,
,,,,,,,,,2180,-0.03,-0.2,,,,,,,,
,,,,,,,,,2185,-0.1,-0.18,,,,,,,,
,,,,,,,,,2190,-0.13,-0.21,,,,,,,,
,,,,,,,,,2195,-0.19,-0.19,,,,,,,,
,,,,,,,,,2200,-0.14,-0.19,,,,,,,,
,,,,,,,,,2205,-0.19,-0.21,,,,,,,,
,,,,,,,,,2210,-0.16,-0.17,,,,,,,,
,,,,,,,,,2215,-0.16,-0.24,,,,,,,,
,,,,,,,,,2220,-0.17,-0.21,,,,,,,,
,,,,,,,,,2225,-0.2,-0.26,,,,,,,,
,,,,,,,,,2230,-0.27,-0.24,,,,,,,,
,,,,,,,,,2235,-0.29,-0.31,,,,,,,,
,,,,,,,,,2240,-0.31,-0.29,,,,,,,,
,,,,,,,,,2245,-0.31,-0.38,,,,,,,,
,,,,,,,,,2250,-0.36,-0.29,,,,,,,,
,,,,,,,,,2255,-0.38,-0.34,,,,,,,,
,,,,,,,,,2260,-0.41,-0.27,,,,,,,,
,,,,,,,,,2265,-0.47,-0.34,,,,,,,,
,,,,,,,,,2270,-0.49,-0.25,,,,,,,,
