Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,2700,-0.31,-0.46,,,
,,,,,,,,,2705,-0.36,-0.4,,,
,,,,,,,,,2710,-0.4,-0.38,,,
,,,,,,,,,2715,-0.42,-0.45,,,
,,,,,,,,,2720,-0.37,-0.49,,,
,,,,,,,,,2725,-0.26,-0.45,,,
,,,,,,,,,2730,-0.39,-0.49,,,
,,,,,,,,,2735,-0.42,-0.62,,,
,,,,,,,,,2740,-0.43,-0.43,,,
,,,,,,,,,2745,-0.42,-0.55,,,
,,,,,,,,,2750,-0.33,-0.46,,,
,,,,,,,,,2755,-0.26,-0.36,,,
,,,,,,,,,2760,-0.28,-0.48,,,
,,,,,,,,,2765,-0.29,-0.69,,,
,,,,,,,,,2770,-0.29,-0.46,,,
,,,,,,,,,2775,-0.35,-0.42,,,
,,,,,,,,,2780,-0.32,-0.48,,,
,,,,,,,,,2785,-0.26,-0.56,,,
,,,,,,,,,2790,-0.33,-0.55,,,
,,,,,,,,,2795,-0.32,-0.59,,,
,,,,,,,,,2800,-0.33,-0.51,,,
,,,,,,,,,2805,-0.42,-0.49,,,
,,,,,,,,,2810,-0.45,-0.52,,,
,,,,,,,,,2815,-0.39,-0.5,,,
,,,,,,,,,2820,-0.52,-0.53,,,
,,,,,,,,,2825,-0.52,-0.38,,,
,,,,,,,,,2830,-0.51,-0.49,,,
,,,,,,,,,2835,-0.49,-0.47,,,
,,,,,,,,,2840,-0.43,-0.46,,,
,,,,,,,,,2845,-0.32,-0.42,,,
,,,,,,,,,2850,-0.33,-0.49,,,
,,,,,,,,,2855,-0.31,-0.49,,,
,,,,,,,,,2860,-0.27,-0.55,,,
,,,,,,,,,2865,-0.36,-0.49,,,
,,,,,,,,,2870,-0.34,-0.56,,,
,,,,,,,,,2875,-0.33,-0.61,,,
,,,,,,,,,2880,-0.4,-0.59,,,
,,,,,,,,,2885,-0.4,-0.69,,,
,,,,,,,,,2890,-0.43,-0.6,,,
,,,,,,,,,2895,-0.56,-0.52,,,
,,,,,,,,,2900,-0.61,-0.59,,,
,,,,,,,,,2905,-0.53,-0.79,,,
,,,,,,,,,2910,-0.65,-0.67,,,
,,,,,,,,,2915,-0.62,-0.69,,,
,,,,,,,,,2920,-0.63,-0.61,,,
,,,,,,,,,2925,-0.67,-0.56,,,
,,,,,,,,,2930,-0.67,-0.72,,,
,,,,,,,,,2935,-0.56,-0.8,,,
,,,,,,,,,2940,-0.58,-0.76,,,
,,,,,,,,,2945,-0.51,-0.78,,,
,,,,,,,,,2950,-0.46,-0.72,,,
